----------------------------------------------------------------------------------------------------
Loaded from: mnist_q.pth
----------------------------------------------------------------------------------------------------
BASELINE
Test set: Average loss: 0.0503, Accuracy: 9856/10000 (99%)
MnistNetwork(
  (conv1): Conv2d(1, 10, kernel_size=(5, 5), stride=(1, 1))
  (conv2): Conv2d(10, 20, kernel_size=(5, 5), stride=(1, 1))
  (conv2_drop): Dropout2d(p=0.5)
  (fc1): Linear(in_features=320, out_features=50, bias=True)
  (fc2): Linear(in_features=50, out_features=10, bias=True)
)
FLOPS: 935040.0
Episode: 7 | Iteration: 1 | Acc.: 0.8297 | FLOPS: 374784.0
Episode: 7 | Iteration: 2 | Acc.: 0.9012 | FLOPS: 468160.0
Episode: 7 | Iteration: 3 | Acc.: 0.7144 | FLOPS: 468160.0
Episode: 7 | Iteration: 4 | Acc.: 0.3689 | FLOPS: 468160.0
Episode: 7 | Iteration: 5 | Acc.: 0.874 | FLOPS: 374784.0
Episode: 7 | Iteration: 6 | Acc.: 0.9564 | FLOPS: 654912.0
Episode: 7 | Iteration: 7 | Acc.: 0.9165 | FLOPS: 374784.0
Episode: 7 | Iteration: 8 | Acc.: 0.4736 | FLOPS: 468160.0
Episode: 7 | Iteration: 9 | Acc.: 0.9329 | FLOPS: 654912.0
Episode: 8 | Iteration: 0 | Acc.: 0.884 | FLOPS: 374784.0
Episode: 8 | Iteration: 1 | Acc.: 0.4309 | FLOPS: 374784.0
Episode: 8 | Iteration: 2 | Acc.: 0.9083 | FLOPS: 468160.0
Episode: 8 | Iteration: 3 | Acc.: 0.9784 | FLOPS: 841664.0
Episode: 8 | Iteration: 4 | Acc.: 0.8568 | FLOPS: 468160.0
Episode: 8 | Iteration: 5 | Acc.: 0.6315 | FLOPS: 188032.0
Episode: 8 | Iteration: 6 | Acc.: 0.9122 | FLOPS: 468160.0
Episode: 8 | Iteration: 7 | Acc.: 0.8974 | FLOPS: 468160.0
Episode: 8 | Iteration: 8 | Acc.: 0.6546 | FLOPS: 468160.0
